iter	RMSE
0	0.375311778
1	0.3671684334
2	0.3581191881
3	0.3494562575
4	0.3406941219
5	0.3339766459
6	0.3277687286
7	0.3228835463
8	0.3155053998
9	0.3101770812
10	0.3040640867
11	0.2993879128
12	0.2947806205
13	0.2895392381
14	0.2859800704
15	0.2831493483
16	0.2803184451
17	0.2775462505
18	0.2740745491
19	0.270290943
20	0.2659477549
21	0.2625381551
22	0.2596231705
23	0.2564743856
24	0.2542153794
25	0.2521798476
26	0.2493850819
27	0.2472527011
28	0.2450736134
29	0.242073015
30	0.2403379452
31	0.2376536184
32	0.2357288055
33	0.2338058462
34	0.2315916267
35	0.2292805906
36	0.226168029
37	0.2248082184
38	0.2231159718
39	0.2215637854
40	0.2201434694
41	0.2188739709
42	0.2170049966
43	0.2144655393
44	0.2129651816
45	0.2114361125
46	0.2094482468
47	0.20798653
48	0.2053105137
49	0.2029879719
50	0.2016168498
51	0.2008050673
52	0.1996699969
53	0.1988165544
54	0.1975204693
55	0.1963724922
56	0.19490788
57	0.1937963803
58	0.1920619512
59	0.1901942857
60	0.1893125885
61	0.1880312604
62	0.1865024787
63	0.1857413944
64	0.1835188585
65	0.1822713648
66	0.1812282246
67	0.179664842
68	0.1781386372
69	0.1770617284
70	0.1755738
71	0.1737695521
72	0.1726963857
73	0.1720207239
74	0.1704996674
75	0.1698813059
76	0.1683871937
77	0.1668232546
78	0.1656460952
79	0.1644147353
80	0.1632342535
81	0.1624486292
82	0.1613716821
83	0.1605407224
84	0.160057758
85	0.1592716109
86	0.1577501308
87	0.1565601567
88	0.1555896048
89	0.1546527034
90	0.1536604572
91	0.1523940225
92	0.1513882958
93	0.1506589388
94	0.1498546573
95	0.1490959639
96	0.1476317555
97	0.1470563221
98	0.1464892373
99	0.1456283026
