iter	Passed	Remaining
0	11	1094
1	21	1063
2	32	1051
3	43	1034
4	54	1035
5	65	1020
6	76	1017
7	89	1024
8	100	1015
9	110	996
10	121	982
11	132	970
12	142	952
13	152	939
14	163	925
15	173	909
16	184	898
17	194	885
18	205	874
19	215	863
20	225	849
21	236	838
22	247	827
23	257	815
24	267	803
25	279	796
26	290	786
27	301	775
28	312	764
29	322	753
30	333	741
31	343	729
32	353	718
33	364	706
34	374	695
35	384	684
36	395	672
37	405	661
38	416	650
39	426	639
40	437	628
41	448	619
42	460	609
43	470	598
44	481	588
45	492	577
46	502	567
47	513	556
48	523	544
49	534	534
50	545	524
51	556	513
52	567	503
53	578	492
54	590	482
55	602	473
56	614	463
57	626	453
58	637	443
59	648	432
60	658	421
61	668	410
62	679	398
63	689	387
64	699	376
65	713	367
66	724	357
67	735	346
68	747	335
69	757	324
70	767	313
71	779	303
72	790	292
73	801	281
74	811	270
75	822	259
76	832	248
77	843	237
78	853	227
79	864	216
80	875	205
81	885	194
82	895	183
83	905	172
84	919	162
85	932	151
86	944	141
87	955	130
88	966	119
89	976	108
90	987	97
91	998	86
92	1008	75
93	1019	65
94	1030	54
95	1041	43
96	1051	32
97	1062	21
98	1073	10
99	1083	0
